"Rank","Last.year","Up.or.down","Name","Position","Position.modifier","Club.on.20.Dec.2020","League","Age.on.20.Dec.2020","Nationality","Profile","Writer"
1,"7","6","Robert Lewandowski","Forward","CENTRE","Bayern Munich","Germany",32,"Poland","Some will mourn the end of the Lionel Messi and Cristiano Ronaldo era but it’s really a segue into a new one, of the centre-forward who further excels in his 30s – led by Lewandowski, who is indisputably improving. His numbers are incredible; he finished 2019-20 with 55 goals in 47 club matches for Bayern Munich, and became only the second player to finish top scorer in all three competitions of a treble season after Johan Cruyff for Ajax in 1972. Later he moved into third on the Champions League all-time scorers’ list, level with Raúl. Yet when his coach Hansi Flick says “he’s in the form of his life”, he doesn’t just mean the goals. The 32-year-old Lewandowski still relishes the physical battle of being a No 9 and is a talisman for his younger teammates. With him set to dominate for years to come, Bayern may well do so too. ","Andy Brassell"
2,"1","-1","Lionel Messi","Forward","CENTRE","Barcelona","Spain",33,"Argentina","2020 was a Bad Year for Lionel Messi. Last season was about the worst he’s ever had, one in which he scored more goals, created more chances, completed more dribbles and provided more assists than anyone in Spain. Welcome to the absurdity of the outlier on every graph, the man whose career created a new category of footballing classification: “Apart from Messi.” In his worst year – <a href=""https://www.theguardian.com/football/2020/aug/25/lionel-messi-tells-barcelona-he-wants-to-leave-but-faces-legal-battle-over-clause"">so bad he wanted out</a> – he finished 400 points ahead of third and 238 of our 241 judges included him. (And, no, we’re not telling you who the three are). Yet there’s no escaping the truth: in 2020 Messi really wasn’t <italics>that</italics> good, rightly falls well below Lewandowski and even second might be too high, his inclusion partly a product of habit now. Not where he wants to be, in any sense, it’s hard to escape the sadness, the frustration and the fear that the end is nigh.   ","Sid Lowe"
3,"4","1","Cristiano Ronaldo","Forward","LEFT","Juventus","Italy",35,"Portugal","By the standards of one of the greatest footballers ever, this was a forgettable year. Ronaldo picked up his <a href=""https://www.theguardian.com/football/2020/jul/27/maurizio-sarri-serie-a-title-juventus-win-convince-scudetto"">second Serie A winners’ medal</a> – a minimum expectation while playing for a team that have won the league nine seasons running – and not a lot else, as Juventus lost a Coppa Italia final and exited the Champions League in the last 16. The Ballon d’Or was cancelled, but Ronaldo failed even to win the Italian top flight’s MVP. Yet this was still a year when he equalled a Serie A record by scoring in 11 consecutive league games and a year when he notched his 100th (<a href=""https://www.theguardian.com/football/blog/2020/sep/12/cristiano-ronaldos-101-portugal-goals-a-product-of-unceasing-appetite"">and 101st</a>) goal for Portugal, becoming the first European men’s player ever to hit that landmark in internationals. Only three of our judges had him as the world’s best player – down from 11 in 2019 – but the consensus ranking speaks to how many ballots placed him very close indeed.","Nicky Bandini"
4,"12","8","Kevin De Bruyne","Midfielder","CENTRE","Manchester City","England",29,"Belgium","Missed a penalty <a href=""https://www.theguardian.com/football/2020/nov/08/manchester-city-liverpool-premier-league-match-report"">against Liverpool in November</a> and the nation was shocked, accustomed as it is to near perfection from Belgium's top performer. As a Manchester City player De Bruyne will not have enjoyed 2020 as much as the two years that preceded it, though he remains by some distance the side's most creative and consistent influence. At least he does in theory. A relatively quiet end to the year – he was all but anonymous in <a href=""https://www.theguardian.com/football/2020/dec/12/manchester-united-manchester-city-premier-league-match-report"">the sterile Manchester derby this month</a> – has led to renewed accusations that De Bruyne goes missing against the big teams in a way that rarely happens with Lionel Messi or Cristiano Ronaldo. While the suggestion that De Bruyne is the football equivalent of a flat-track bully might be criticism at the very highest level, anyone who has seen what he can do knows that is precisely where he belongs. ","Paul Wilson"
5,"3","-2","Sadio Mané","Forward","LEFT","Liverpool","England",28,"Senegal","A fall of two places is difficult to comprehend given that the Senegal international continued his development into one of the most dangerous forwards in the game during 2020. His contribution to Liverpool's first league title success for 30 years is reflected, however, in his position as the highest-ranked player from Jürgen Klopp's team. Mané managed to eclipse the outstanding Mohamed Salah and Roberto Firmino last season as Liverpool claimed the Club World Cup and Premier League titles. The 28-year-old scored 18 goals and provided seven assists as Liverpool claimed their long-awaited 19th league championship with considerable ease, although statistics alone do not measure Mané's importance. He scored critical goals, such as <a href=""https://www.theguardian.com/football/2019/nov/02/aston-villa-liverpool-premier-league-match-report"">the last-minute winner at Aston Villa</a> that opened a decisive gap in the title race as early as November last year, tormented defenders and epitomised the focus, class and industry of Klopp's team. He was also <a href=""https://www.theguardian.com/football/2020/jan/07/liverpools-sadio-mane-named-african-footballer-of-the-year-for-first-time"">named African Footballer of the Year</a> for the first time in January.","Andy Hunter"
6,"53","47","Erling Braut Haaland","Forward","CENTRE","Borussia Dortmund","Germany",20,"Norway","Some eyebrows may be raised at Haaland figuring as high as sixth on our list, one place (and a mere 14 points) above Kylian Mbappé but the Norwegian’s 2020 has been nothing short of sensational. This time last year Haaland was still a Red Bull Salzburg player. Sure, he had already scored eight Champions League goals for the Austrian side during the 2019-20 group stage but no one could have anticipated he would settle so quickly at Borussia Dortmund, whom he joined on 1 January. Haaland’s debut for Dortmund came against Augsburg and he <a href=""https://www.theguardian.com/football/2020/jan/18/european-football-roundup-borussia-dortmund-augsburg-erling-haaland-lazio-sampdoria"">promptly scored a 23-minute hat-trick</a> after coming off the bench. He then scored a double in his next two Bundesliga games, against Cologne and Union Berlin, and has not looked back. By mid-December he had 33 goals in 32 games for Dortmund. ""The most frightening thing,"" Lucien Favre said after Haaland’s debut, ""is that he is only going to get better.""","Marcus Christenson"
7,"6","-1","Kylian Mbappé","Forward","CENTRE","Paris St-Germain","France",22,"France","Mbappé is obviously a phenomenon. He achieved more before turning 22 than most players achieve in their entire careers, and he is one of the most thrilling players on the planet when on song. And this year he helped Paris Saint-Germain make it – at last - past the quarter-finals of the Champions League. Yet he has slipped one place in the 100. Maybe that is because, awesome though he is, he has not been as brilliant as he could have been this year. Not consistently. He flopped in the Champions League final</a> and there have been times this year when he has seemed to rely too much on his speed, in contrast with previous years when his exceptional awareness and decision-making were among the qualities that made him so exciting. His development stalled a tad. Very few players merit both an A grade and the comment ""could do better"". Perhaps a move from PSG would stimulate him?","Paul Doyle"
8,"5","-3","Mohamed Salah","Forward","RIGHT","Liverpool","England",28,"Egypt","The Egypt international makes the list for the sixth year in succession. His output remains phenomenally consistent too. After a slow start to last season, at least by his elevated standards, Salah hit his productive stride and rarely wavered to help <a href=""https://www.theguardian.com/football/2020/jun/25/how-liverpool-became-premier-league-champions"">Liverpool finally claim the Premier League title</a> with 19 goals and 10 assists. He ended the campaign as the first Liverpool player since Michael Owen 17 years previously to score 20 goals or more in all competitions in three consecutive seasons. There has been no let-up this term either, and his 11 league goals by 16 December have been invaluable to a team defending their title while suffering a procession of injuries in defence. Salah became Liverpool's all-time leading goalscorer in the Champions League with his 22nd in the competition against Midtjylland and has scored a truly remarkable 108 goals in 172 appearances for the club at the time of writin","Andy Hunter"
9,"31","22","Neymar","Forward","CENTRE","Paris St-Germain","France",28,"Brazil","To concentrate on his irritating habits is to detract from the enjoyment of all the wonderful, courageous things that Neymar does – and he does them not simply to amuse himself but, increasingly, to help his team. He rose 22 places in the top 100 because this was the year when he mostly put his extraordinary skills to the service of the PSG collective, graduating from brand ambassador to genuine leader on the pitch. Teammates give him the ball no matter how many opponents are around him because they can count on him to create or score a goal even where there appears to be no chance. He did not shine <a href=""https://www.theguardian.com/football/2020/aug/23/bayern-munich-paris-saint-germain-psg-champions-league-final-match-report"">in the Champions League final</a> but he played a key role in them getting there at last and in December inspired another advance to the knockout stages by showing Manchester United what a world-class player is. He remains precious to his country, too, closing in on Pelé's all-time scoring record for Brazil.","Paul Doyle"
10,"2","-8","Virgil van Dijk","Defender","CENTRE","Liverpool","England",29,"Netherlands","Still the best defender in the world but no longer the second best player on our list, which does not come as a huge surprise. Partly because it was impossible for Van Dijk to replicate the incredible form and consistency he showed in 2019 and partly because he has been sidelined since <a href=""https://www.theguardian.com/football/2020/oct/18/liverpool-virgil-van-dijk-cruciate-injury-facing-surgery-and-long-absence-knee"">suffering a serious knee injury</a> in October’s Merseyside derby. A case of out of action, out of mind, but Van Dijk nevertheless deserves his place in the top 10 having been an ever-present and crucial part of a Liverpool team that <a href=""https://www.theguardian.com/football/2020/jun/25/how-liverpool-became-premier-league-champions"">deservedly won the Premier League title</a> this year, as well as again proving an important and impressive figure for his country.","Sachin Nakrani"
